Company Name,Index Name
Mahindra and Mahindra,M&M.NS
Tata Motors,TATAMOTORS.NS
Maruti,MARUTI.NS
Hero Motors,HEROMOTOCO.NS
Bajaj-auto,BAJAY-AUTO.NS
eichermot,EICHEMOT.NS
Tvs motors,TVSMOTOR.NS
motherson,MOTHERSON.NS
bharatforg,BHARATFORG.NS
tatamtrdvr,TATAMTRDVR.NS
boschltd,BOSCHLTD.NS
MRF,MRF.NS
Balkrisind,BALKRISIND.NS
exideind,EXIDENID.NS
Apollo tyre,APOLLOTYRE.NS
Ashok Leyland,ASHOKLEY.NS
Hdfc bank,HDFCBANK.NS
ICICI BANK,ICICIBANK.NS
SBI BANK,SBIN.NS
KOTAK BANK,KOTAKBANK.NS
AXIS BANK,AXISBANK.NS
INDUS  BANK,INDUSINDBK.NS
FEDERAL BANK,FEDERALBNK.NS
BANK OF BARODA,BANKBARODA.NS
PUNJAB BANK,PNB.NS
AUBANK,AUBANK.NS
IDFCFIRST BANK,IDFCFIRSTB.NS
BANDHAN BANK,BANDHANBNK.NS
HDFC BANK,HDFCBANK.NS
ICICI BANK,ICICIBANK.NS
SBI BANK,SBIN.NS
AXIS BANK,AXISBANK.NS
KOTAK BANK,KOTAKBANK.NS
Bajaj finance,BAJFINANCE.NS
Bajaj auto finance,BAJAFINSV.NS
Shri Ram Finance,SHRIRAMFIN.NS
Pfc,PFC.NS
REC Ltd,RECLTD.NS
SBI life,SBILIFE.NS
HDFC life,HDFCLIFE.NS
CHOLA FIN,CHOLAFIN.NS
ICICIGI,ICICIGI.NS
HDFCAMC,HDFCAMC.NS
ICICIPRULI,ICICIPRULI.NS
LICHSGFIN,LICHSGFIN.NS
SBI CARD,SBICARD.NS
MUTHOOTFIN,MUTHOOTFIN.NS
IDFC,IDFC.NS
Itc,ITC.NS
HINDUNILVER,HINDUNILVER.NS
NESTLEIND,NESTLEIND.NS
TATA CONSUM,TATACONSUM.NS
VBL,VBL.NS
BRITANNIA,BRITANNIA.NS
GODREJCP,GODREJCP.NS
COLPAL,COLPAL.NS
UNITDSPR,UNITDSPR.NS
DABUR,DABUR.NS
MARICO,MARICO.NS
PGHH,PGHH.NS
UBL,UBL.NS
RADICO,RADICO.NS
BALRAMCHIN,BALRAMCHIN.NS
SUNpharma,SUNPHARMA.NS
drredddy,DRREDDY.NS
cipla,CIPLA.NS
Max health,CIPLA.NS
apollohosp,APOLLOHOSP.NS
divislab,DIVISLAB.NS
lupin,LUPIN.NS
auropharma,AUROPHARMA.NS
tornpharma,TORNPHARMA.NS
zyduslife,ZYDSLIFE.NS
Alkem,ALKEM.NS
glenmark,GLENMARK.NS
laruslab,LARUSLAB.NS
Ipac lab,IPACLAB.NS
biocon,BIOCON.NS
abbotindia,ABBOTINDIA.NS
syngene,SYNGENE.NS
Lalpath lab,LALPATHLAB.SN
granules,GRANULES.NS
metropolis,METROPOLIS.NS
Infosys,INFY.NS
Tcs,TCS.NS
Hcl Tech,HCLTECH.NS
Tech Mahindra,TECHM.NS
Wipro,WIPRO.NS
LTIM,LTIM.NS
Persistent,PERSISTENT.NS
Co forGE,DOFORGE.NS
Mphasis,MPHASIS.NS
Ltts,LTTS.NS
Zee Entertainment Enterprises Ltd (ZEEL),ZEEL.NS
Sun TV Network Ltd (SUNTV),SUNTV.NS
Saregama India Ltd (SAREGAMA),SAREGAMA.NS
TV18 Broadcast Ltd (TV18BRDCST),TV18BRDCST.NS
Network18 Media & Investments Ltd (NETWORK18),NETWORK18.NS
Nazara Technologies Ltd (NAZARA),NAZARA.NS
PVR INOX Ltd (PVRINOX),PVRINOX.NS
Tips Industries Ltd (TIPSINDLTD),TIPSINDLTD.NS
Dish TV India Ltd (DISHTV),DISHTV.NS
